,,,
,,,
,,,
,PRODUCT,price,link
,"OLED Module 0.91"" 128x32 - I2C White","7,90 $",https://grobotronics.com/oled-module-0.91-128x32-i2c-white.html
,Raspberry Pi Pico W,"9,29 $",https://grobotronics.com/raspberry-pi-pico-w-wireless.html?variation_id=16653
,1N4148W,$2.06 ,https://www.lcsc.com/product-detail/C84367.html?s_z=n_q_x_1N4148W%2520&spm=wm.ssy.em.2.tz&lcsc_vid=TlheVFFfE1kKVwdUFFILVlZWRlNcU1UEQVFcUQIEEwAxVlNeT1deVlNXQ1BdUTsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D
,pcb,$31.20 ,
,total,$50.45 ,
